hEven,pTran
122959,1994.0
122959,1994.0
122959,1994.0
122959,1981.0
122958,1981.0
122957,1981.0
122950,1993.0
122948,1991.0
122948,1993.0
122948,1993.0
122948,1993.0
122948,1993.0
122948,1993.0
122948,1993.0
122948,1990.0
122948,1990.0
122948,1990.0
122948,1990.0
122948,1990.0
122948,1990.0
122948,1990.0
122947,1980.0
122947,1980.0
122947,1980.0
122947,1981.0
122947,1990.0
122947,1990.0
122945,1981.0
122945,1980.0
122945,1980.0
122945,1980.0
122945,1980.0
122945,1980.0
122945,1980.0
122945,1980.0
122945,1980.0
122945,1980.0
122945,1980.0
122944,1990.0
122944,1990.0
122936,1990.0
122936,1991.0
122936,1980.0
122936,1990.0
122936,1991.0
122936,1991.0
122936,1990.0
122936,1991.0
122936,1991.0
122936,1991.0
122934,1990.0
122933,1990.0
122929,1990.0
122929,1980.0
122929,1991.0
122927,1982.0
122927,1980.0
122927,1980.0
122926,1990.0
122926,1990.0
122923,1991.0
122923,1991.0
122922,1991.0
122922,1991.0
122922,1991.0
122922,1991.0
122919,1980.0
122919,1990.0
122919,1990.0
122918,1981.0
122918,1980.0
122918,1980.0
122917,1990.0
122916,1990.0
122913,1980.0
122912,1980.0
122912,1980.0
122911,1981.0
122911,1980.0
122911,1980.0
122911,1980.0
122911,1980.0
122911,1980.0
122911,1990.0
122909,1990.0
122909,1980.0
122909,1980.0
122909,1980.0
122909,1980.0
122909,1980.0
122909,1980.0
122909,1980.0
122908,1990.0
122907,1990.0
122906,1980.0
122906,1980.0
122905,1990.0
122904,1990.0
122902,1990.0
122901,1980.0
122900,1990.0
122859,1990.0
122858,1990.0
122856,1990.0
122855,1990.0
122853,1990.0
122848,1990.0
122848,1982.0
122848,1981.0
122848,1980.0
122848,1980.0
122848,1980.0
122848,1980.0
122848,1980.0
122848,1980.0
122848,1990.0
122845,1990.0
122843,1990.0
122843,1990.0
122843,1990.0
122843,1990.0
122843,1990.0
122842,1990.0
122841,1990.0
122840,1990.0
122839,1982.0
122839,1980.0
122839,1990.0
122836,1982.0
122836,1982.0
122835,1990.0
122834,1982.0
122832,1982.0
122828,1980.0
122827,1990.0
122827,1990.0
122825,1980.0
122825,1980.0
122824,1980.0
122824,1980.0
122824,1982.0
122824,1990.0
122823,1980.0
122823,1980.0
122820,1980.0
122819,1980.0
122818,1980.0
122818,1980.0
122818,1980.0
122817,1979.0
122816,1979.0
122816,1979.0
122816,1979.0
122816,1979.0
122815,1980.0
122815,1980.0
122815,1979.0
122809,1980.0
122808,1980.0
122808,1980.0
122807,1980.0
122807,1980.0
122807,1980.0
122807,1980.0
122807,1980.0
122807,1980.0
122806,1990.0
122801,1980.0
122758,1980.0
122758,1980.0
122752,1982.0
122751,1990.0
122751,1990.0
122751,1990.0
122751,1990.0
122751,1990.0
122751,1990.0
122751,1990.0
122751,1990.0
122749,1986.0
122749,1987.0
122749,1987.0
122749,1987.0
122749,1988.0
122749,1988.0
122749,1989.0
122749,1989.0
122749,1989.0
122749,1989.0
122749,1990.0
122749,1990.0
122749,1990.0
122748,1982.0
122748,1982.0
122748,1980.0
122748,1982.0
122748,1983.0
122748,1983.0
122748,1984.0
122748,1985.0
122748,1985.0
122748,1985.0
122748,1985.0
122748,1986.0
122748,1986.0
122748,1986.0
122748,1986.0
122747,1980.0
122747,1980.0
122747,1980.0
122747,1980.0
122747,1980.0
122747,1980.0
122747,1980.0
122747,1980.0
122747,1980.0
122747,1980.0
122747,1982.0
122747,1979.0
122746,1980.0
122741,1980.0
122736,1979.0
122736,1980.0
122735,1978.0
122735,1979.0
122733,1978.0
122733,1978.0
122733,1979.0
122732,1978.0
122732,1978.0
122728,1979.0
122728,1979.0
122728,1979.0
122728,1978.0
122728,1978.0
122728,1978.0
122728,1978.0
122728,1978.0
122728,1978.0
122728,1978.0
122728,1978.0
122728,1978.0
122726,1979.0
122724,1979.0
122722,1978.0
122722,1979.0
122722,1979.0
122721,1978.0
122720,1979.0
122717,1978.0
122717,1978.0
122716,1979.0
122716,1979.0
122716,1978.0
122716,1979.0
122715,1980.0
122713,1980.0
122706,1979.0
122657,1979.0
122656,1979.0
122656,1980.0
122655,1979.0
122653,1978.0
122652,1978.0
122651,1978.0
122651,1979.0
122651,1979.0
122651,1979.0
122651,1978.0
122651,1978.0
122651,1978.0
122651,1978.0
122651,1978.0
122651,1978.0
122651,1978.0
