hEven,pTran,qTitTran
122959,11787.0,1500
122959,11787.0,90
122958,11787.0,40532
122958,11787.0,8468
122958,11787.0,3000
122958,11787.0,18181
122958,11787.0,160
122957,11787.0,1000
122956,11787.0,1300
122956,11787.0,10000
122955,11787.0,500
122954,11787.0,1000
122954,11787.0,2500
122954,11787.0,16000
122953,11787.0,2845
122953,11787.0,1000
122953,11787.0,4699
122951,11787.0,200
122947,11787.0,500
122946,11787.0,8444
122946,11787.0,800
122944,11787.0,392
122943,11787.0,3526
122943,11787.0,303
122943,11787.0,3600
122943,11787.0,163
122943,11787.0,4222
122942,11787.0,4222
122941,11787.0,1000
122941,11787.0,10170
122941,11787.0,1000
122941,11787.0,78748
122941,11787.0,4000
122941,11787.0,17252
122940,11787.0,1000
122939,11787.0,10
122939,11787.0,76
122939,11787.0,506
122938,11787.0,60
122938,11787.0,9940
122937,11787.0,6904
122937,11787.0,140
122937,11787.0,2000
122937,11787.0,1600
122936,11787.0,591
122934,11787.0,12983
122934,11787.0,87017
122934,11787.0,1688
122932,11787.0,1000
122929,11787.0,200
122929,11787.0,35800
122929,11787.0,844
122928,11787.0,170
122928,11787.0,300
122927,11787.0,200
122927,11787.0,3000
122926,11787.0,200
122926,11787.0,1000
122925,11787.0,422
122925,11787.0,899
122924,11787.0,26249
122924,11787.0,200
122923,11787.0,5940
122923,11787.0,34806
122923,11787.0,50000
122923,11787.0,7721
122923,11787.0,1533
122923,11787.0,15000
122922,11787.0,28414
122921,11787.0,500
122921,11787.0,100
122921,11787.0,599
122920,11787.0,490
122919,11787.0,200
122919,11787.0,200
122918,11787.0,422
122917,11787.0,100
122917,11787.0,5786
122917,11787.0,750
122915,11787.0,500
122914,11787.0,4216
122914,11787.0,18500
122914,11787.0,120
122913,11787.0,4222
122912,11787.0,1500
122910,11787.0,170
122910,11787.0,2000
122909,11787.0,2000
122909,11787.0,300
122908,11787.0,13723
122908,11787.0,13527
122908,11787.0,1000
122908,11787.0,8444
122907,11787.0,422
122907,11787.0,800
122906,11787.0,5000
122904,11787.0,7832
122903,11787.0,5000
122903,11787.0,300
122903,11787.0,497
122903,11787.0,8444
122902,11787.0,200
122902,11787.0,9513
122902,11787.0,7982
122901,11787.0,200
122901,11787.0,422
122901,11787.0,200
122900,11787.0,1562
122900,11787.0,200
122900,11787.0,1000
122859,11787.0,200
122859,11787.0,200
122858,11787.0,200
122858,11787.0,200
122857,11787.0,200
122857,11787.0,600
122856,11787.0,423
122856,11787.0,200
122856,11787.0,100
122855,11787.0,200
122855,11787.0,100
122855,11787.0,200
122854,11787.0,800
122854,11787.0,7500
122853,11787.0,1000
122853,11787.0,200
122852,11787.0,402
122852,11787.0,200
122850,11787.0,200
122850,11787.0,200
122850,11787.0,410
122849,11787.0,3000
122849,11787.0,200
122849,11787.0,500
122849,11787.0,200
122848,11787.0,200
122847,11787.0,500
122847,11787.0,200
122847,11787.0,250
122847,11787.0,200
122846,11787.0,200
122845,11787.0,200
122844,11787.0,200
122843,11787.0,1300
122843,11787.0,200
122842,11787.0,200
122842,11787.0,8435
122841,11787.0,760
122840,11787.0,679
122840,11787.0,200
122839,11787.0,800
122839,11787.0,200
122838,11787.0,200
122838,11787.0,636
122838,11787.0,235
122838,11787.0,100
122836,11787.0,2510
122836,11787.0,200
122835,11787.0,200
122835,11787.0,88
122834,11787.0,17687
122834,11787.0,100
122833,11787.0,200
122831,11787.0,4950
122831,11787.0,100
122831,11787.0,200
122830,11787.0,150
122829,11787.0,20000
122828,11787.0,943
122827,11787.0,200
122827,11787.0,1000
122826,11787.0,180
122825,11787.0,100
122825,11787.0,3000
122821,11787.0,5355
122821,11787.0,605
122821,11787.0,760
122819,11787.0,5000
122818,11787.0,2000
122818,11787.0,2533
122816,11787.0,1006
122816,11787.0,2000
122815,11787.0,2000
122815,11787.0,1000
122815,11787.0,35504
122813,11787.0,252
122813,11787.0,1748
122812,11787.0,2000
122812,11787.0,437
122811,11787.0,603
